School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Rockhampton North Special School,Rockhampton North,12,--,12,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockhampton Special School,Rockhampton,5,--,5,1,--,--,--,0,20%,--,,,,,,,,,,,,,,,,,,,,,5,1,--,1,--, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockhampton State High School,Rockhampton,150,124,1,124,17,29,--,8,94%,100%,124,107,17,98,39, 13,--,--,3,1,25,16,--,15,4,1,--,--,--,--,1,1,--,1,--, --,29,27,26,1,25,6, --,--,--,3,--,120,97,97,16,88,37, 14,--,--,--,1,4,7,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma State College,Roma,40,27,--,33,11,14,--,4,85%,93%,27,26,7,19,9, 7,--,--,--,3,13,7,4,5,2,--,--,--,--,1,,,,,,,14,11,11,--,11,3, --,--,--,--,1,26,16,22,11,13,8, 7,--,--,--,3,1,2,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosedale State School,Rosedale,28,18,--,24,6,8,--,2,93%,100%,18,16,4,12,9, 3,--,--,--,--,10,8,2,6,3,--,--,--,--,--,,,,,,,8,8,6,--,5,2, --,--,--,--,--,20,10,18,6,13,10, 3,--,--,--,--,2,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosella Park School,Gladstone,2,--,2,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosewood State High School,Rosewood,85,56,--,81,9,20,--,4,95%,94%,56,56,8,53,9, 4,--,--,--,1,29,25,1,24,2,1,--,--,--,--,,,,,,,20,17,20,2,19,4, 1,--,--,--,--,65,39,61,7,58,7, 4,--,--,--,1,1,5,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Runcorn State High School,Runcorn,165,145,--,102,32,88,--,2,92%,94%,145,95,29,35,52, 33,1,--,19,4,20,7,3,3,2,2,--,--,1,--,,,,,,,88,75,36,4,10,21, 10,--,--,20,--,77,70,66,28,28,33, 25,1,--,--,4,14,23,21,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Catholic College,Kirwan,174,165,1,83,6,117,--,3,98%,97%,165,78,4,2,61, 19,3,--,14,18,8,5,2,--,--,4,--,--,--,--,,,,,,,117,116,42,2,1,29, 12,1,--,14,4,56,49,41,4,1,32, 11,2,--,--,14,21,29,43,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Stephen's College,Coomera,85,78,--,30,9,70,--,2,95%,97%,78,27,7,1,3, 13,6,4,6,4,7,3,2,--,--,--,--,1,--,1,,,,,,,70,67,18,6,1,2, 8,5,--,6,--,15,11,12,3,--,1, 5,1,5,--,5,14,26,23,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
San Sisto College,Carina,114,107,1,106,7,90,--,1,97%,93%,107,102,7,99,5, 30,1,--,2,3,6,3,--,3,--,--,--,--,--,1,1,1,--,1,--, --,90,86,84,4,83,4, 12,1,--,2,2,23,21,21,3,19,1, 18,--,--,--,2,15,23,32,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandgate District State High School,Sandgate,193,175,1,131,18,77,--,3,96%,97%,175,121,18,17,106, 52,1,--,8,--,17,10,--,1,10,2,--,--,--,--,,,,,,,77,73,24,4,1,18, 8,--,--,6,--,115,102,107,14,17,98, 46,1,--,2,--,11,17,23,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarina State High School,Sarina,82,81,1,81,11,17,--,0,99%,100%,81,81,11,80,81, 22,--,--,1,2,,,,,,,,,,,,,,,,,17,17,17,--,17,17, 4,--,--,1,--,64,64,64,11,63,64, 18,--,--,--,2,3,6,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Seton College,Mount Gravatt East,33,11,6,32,9,--,--,1,97%,--,11,11,6,11,2, 6,--,--,--,--,16,15,3,15,1,--,--,--,--,--,6,6,--,6,--, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shailer Park State High School,Shailer Park,102,77,4,90,9,43,--,1,96%,95%,77,69,7,53,18, 39,--,--,4,16,21,19,2,17,4,2,--,--,1,4,4,2,--,2,--, 1,43,37,35,3,30,7, 9,--,--,5,8,55,40,53,6,40,15, 32,--,--,--,12,5,8,19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalom Christian College,Condon,22,4,--,17,4,--,--,5,77%,--,4,4,2,--,4, --,--,--,--,--,18,13,2,2,12,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shalom College,Bundaberg,197,191,--,128,20,135,--,0,98%,92%,191,126,20,51,89, 23,2,--,2,--,6,2,--,--,2,--,--,--,--,--,,,,,,,135,130,72,5,21,57, 13,--,--,2,--,62,61,56,15,30,34, 10,2,--,--,--,39,43,43,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon College,Sheldon,90,89,--,82,14,84,--,0,100%,100%,89,81,14,8,80, 26,--,--,16,14,1,1,--,--,1,1,--,--,--,--,,,,,,,84,84,76,11,7,75, 24,--,--,16,13,6,5,6,3,1,6, 3,--,--,--,1,24,30,22,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena Catholic College,Sippy Downs,136,134,--,127,17,105,--,0,100%,94%,134,125,17,120,32, 45,3,--,--,1,2,2,--,2,--,--,--,--,--,--,,,,,,,105,104,98,5,93,29, 27,3,--,--,1,31,30,29,12,29,3, 18,--,--,--,--,22,32,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithfield State High School,Smithfield,133,120,4,85,15,61,--,5,94%,96%,120,80,13,39,56, 21,15,--,--,1,9,3,2,2,1,--,--,--,--,--,4,2,--,2,--, --,61,60,21,2,3,16, 5,10,--,--,--,68,60,62,13,38,41, 16,5,--,--,1,10,17,27,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset College,Mudgeeraba,130,123,--,13,6,115,10,0,98%,99%,123,10,4,2,2, 5,1,--,3,--,7,3,2,--,--,1,--,1,--,1,,,,,,,115,112,8,3,2,2, 3,1,--,3,--,4,1,4,2,--,--, 2,--,1,--,1,46,49,16,4,0,10,9,1,1,--,--, 1,--,--,--,--,1,1,--,--,--,--, --,--,--,--,--,4,4,1,1
Somerville House,South Brisbane,154,150,--,34,--,145,--,2,98%,99%,150,33,--,--,30, 9,1,--,7,3,4,1,--,--,1,--,--,--,--,2,,,,,,,145,144,29,--,--,26, 6,--,--,7,--,9,6,5,--,--,5, 3,1,--,--,5,66,50,23,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Cross Catholic College,Scarborough,93,85,1,49,15,66,--,4,94%,91%,85,47,14,15,32, 18,--,--,1,1,7,2,1,1,1,1,--,--,--,--,,,,,,,66,65,28,7,6,20, 10,--,--,1,--,26,20,21,8,10,13, 9,--,--,--,1,6,18,19,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Southport Special  School,Southport,9,--,9,1,1,--,--,0,11%,--,,,,,,,,,,,,,,,,,,,,,9,1,1,--,--, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southport State High School,Southport,125,112,12,101,42,46,--,0,96%,92%,112,93,37,64,72, 34,3,--,8,7,1,1,1,1,1,1,--,--,--,--,12,7,4,5,3, 2,46,46,28,5,16,18, 3,--,--,7,1,67,66,66,33,49,55, 32,3,--,1,6,8,11,17,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
