School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Brisbane Adventist College,Wishart,50,39,--,6,1,45,--,4,80%,92%,39,5,1,--,4,1,--,--,1,4,11,1,--,--,1,--,--,--,--,2,,,,,,,45,38,5,--,--,5,--,--,--,1,6,5,1,1,1,--,--,1,--,--,--,--,8,5,14,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,96,73,1,72,15,53,--,3,97%,82%,73,52,9,34,46,4,--,--,2,8,22,19,6,16,16,1,--,--,--,1,1,1,--,1,--,--,53,50,34,4,15,31,3,--,--,2,8,42,23,37,11,35,31,2,--,--,--,1,6,5,10,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,218,198,--,5,2,154,--,13,91%,98%,198,4,1,--,3,--,--,--,19,6,20,1,1,--,--,--,--,--,--,--,,,,,,,154,148,2,--,--,2,--,--,--,18,1,64,50,3,2,--,1,--,--,--,1,5,69,51,33,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,14,6,--,3,1,10,--,2,57%,78%,6,1,--,--,1,--,--,--,--,--,8,2,1,--,1,--,--,--,--,1,,,,,,,10,5,2,--,--,2,--,--,--,--,1,4,1,1,1,--,--,--,--,--,--,--,0,1,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,232,230,--,25,--,231,--,0,99%,100%,230,25,--,--,24,--,1,--,--,8,,,,,,,,,,,,,,,,,231,229,25,--,--,24,--,1,--,--,8,,,,,,,,,,,,89,76,44,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,250,244,--,1,1,250,--,0,98%,98%,244,1,1,--,--,--,--,--,--,8,6,--,--,--,--,--,--,--,--,2,,,,,,,250,244,1,1,--,--,--,--,--,--,10,,,,,,,,,,,,122,85,32,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,101,52,2,60,11,40,--,17,78%,86%,52,33,7,21,12,8,--,1,5,2,47,27,4,16,7,4,--,--,1,6,,,,,,,40,33,20,2,18,2,1,--,--,4,--,59,19,40,9,19,17,11,--,1,2,8,17,10,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,408,381,--,61,21,377,--,7,95%,95%,381,56,18,1,44,14,1,--,39,12,27,5,3,1,2,--,--,--,--,3,,,,,,,377,360,47,10,1,38,7,--,--,39,12,31,21,14,11,1,8,7,1,--,--,3,134,125,83,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Youth Education Training Centre,Wacol,5,2,--,2,--,--,--,3,40%,--,2,2,--,1,--,2,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,179,138,--,144,22,48,--,3,98%,84%,138,106,18,69,63,15,--,--,--,18,41,38,4,32,19,--,--,--,--,2,,,,,,,48,48,23,5,8,17,--,--,--,--,7,131,90,121,17,93,65,15,--,--,--,13,7,10,10,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,32,25,--,18,1,20,--,3,88%,79%,25,15,--,--,14,1,--,--,1,2,7,3,1,--,2,--,--,--,--,1,,,,,,,20,19,10,--,--,10,--,--,--,1,2,12,6,8,1,--,6,1,--,--,--,1,4,5,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,130,93,--,88,13,64,--,7,92%,94%,93,61,7,29,45,3,--,--,1,3,37,27,6,17,12,3,--,--,--,1,,,,,,,64,59,31,4,15,21,1,--,--,1,2,66,34,57,9,31,36,5,--,--,--,2,9,26,14,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,3,--,3,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,183,125,5,153,18,95,--,8,90%,85%,125,114,13,107,58,12,3,--,--,3,53,39,5,33,9,3,--,--,--,1,,,,,,,95,79,79,5,72,26,6,3,--,--,1,83,46,74,13,68,41,9,--,--,--,3,14,20,29,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,100,45,5,66,8,43,--,8,83%,73%,45,28,1,25,21,3,--,--,--,4,50,34,7,30,18,3,--,--,--,4,5,4,--,4,2,--,43,28,19,1,16,15,1,--,--,--,4,52,17,43,7,39,24,5,--,--,--,4,2,8,9,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,33,32,--,27,7,24,--,1,97%,94%,32,27,7,7,23,1,--,--,--,1,,,,,,,,,,,,,,,,,24,24,19,6,3,17,1,--,--,--,--,9,8,8,1,4,6,--,--,--,--,1,2,4,12,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin School,Ayr,1,--,1,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,38,30,--,33,10,24,--,1,95%,87%,30,27,7,20,20,1,--,--,--,1,8,6,3,3,6,--,--,--,--,--,,,,,,,24,23,20,3,15,13,--,--,--,--,1,14,7,13,7,8,13,1,--,--,--,--,4,5,9,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Bundaberg South,6,--,6,2,--,--,--,0,33%,--,,,,,,,,,,,,,,,,,,,,,6,2,--,1,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,64,54,--,54,26,39,--,0,100%,92%,54,44,23,32,24,16,--,--,1,7,10,10,3,9,1,--,--,--,--,--,,,,,,,39,35,30,16,18,15,12,--,--,1,5,25,19,24,10,23,10,4,--,--,--,2,4,10,13,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,12,--,12,4,--,--,--,0,33%,--,,,,,,,,,,,,,,,,,,,,,12,4,--,4,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
